TIME   ,GSR ,EDA_Filtered,EDA_Phasic,EDA_Tonic
51:15.3,4   ,1.93        ,0         ,39.11
51:15.3,0.19,1.91        ,0         ,39.05
51:15.3,0.14,1.89        ,-36.17    ,38.98
51:15.3,0.31,1.87        ,-36.62    ,38.92
51:15.3,0.32,1.84        ,-37.07    ,38.86
51:15.3,0.26,1.82        ,-37.5     ,38.8
51:15.3,0.35,1.79        ,-37.93    ,38.74
51:15.3,0.01,1.76        ,-38.35    ,38.68
51:15.3,0.01,1.74        ,-38.77    ,38.61
51:15.4,0.01,1.71        ,-39.17    ,38.55
51:15.4,0.03,1.68        ,-39.47    ,38.49
51:15.4,0.02,1.65        ,-39.56    ,38.43
51:15.4,0.03,1.61        ,-39.55    ,38.36
51:15.4,0.04,1.58        ,-39.53    ,38.3
51:15.4,0.04,1.55        ,-39.51    ,38.24
51:15.4,0.02,1.51        ,-39.5     ,38.18
51:15.4,0.01,1.48        ,-39.48    ,38.11
51:15.4,0.01,1.44        ,-39.45    ,38.05
51:15.4,0.01,1.41        ,-39.43    ,37.99
51:15.4,0.01,1.37        ,-39.41    ,37.92
51:15.4,0.01,1.33        ,-39.38    ,37.86
51:15.4,0.01,1.29        ,-39.36    ,37.79
51:15.5,0.02,1.26        ,-39.33    ,37.73
51:15.5,0.02,1.22        ,-39.3     ,37.67
51:15.5,0.02,1.18        ,-39.27    ,37.6
51:15.5,0.02,1.14        ,-39.24    ,37.54
51:15.5,0.02,1.1         ,-39.2     ,37.47
51:15.5,0.05,1.06        ,-39.17    ,37.41
51:15.5,0.04,1.02        ,-39.13    ,37.34
51:15.5,0.03,0.99        ,-39.1     ,37.28
51:15.5,0.02,0.95        ,-39.06    ,37.21
51:15.5,0.02,0.91        ,-39.02    ,37.15
51:15.5,0.02,0.87        ,-38.98    ,37.08
51:15.5,0.02,0.83        ,-38.94    ,37.02
51:15.5,0.01,0.8         ,-38.9     ,36.95
51:15.6,0.01,0.76        ,-38.85    ,36.89
51:15.6,0.02,0.72        ,-38.81    ,36.82
51:15.6,0.02,0.69        ,-38.76    ,36.75
51:15.6,0.02,0.65        ,-38.72    ,36.69
51:15.6,0.02,0.62        ,-38.67    ,36.62
51:15.6,0.02,0.59        ,-38.62    ,36.56
51:15.6,0.02,0.55        ,-38.57    ,36.49
51:15.6,0.03,0.52        ,-38.52    ,36.42
51:15.6,0.02,0.49        ,-38.47    ,36.35
51:15.6,0.01,0.46        ,-38.42    ,36.29
51:15.6,0.07,0.43        ,-38.37    ,36.22
51:15.6,0.08,0.4         ,-38.32    ,36.15
51:15.6,0.08,0.38        ,-38.26    ,36.09
51:15.7,0.09,0.35        ,-38.21    ,36.02
51:15.7,0.08,0.33        ,-38.15    ,35.95
